Author,Year,case1,case0,case-totol,control1,control0,control-total,subgroup
Sipak-Szmigie,2009,58,42,100,61,55,116,HLAG*010101
Nardi,2012,33,47,80,61,105,166,HLAG*010101
Kuroshli ,2015,67,133,200,54,46,100,HLAG*010101
Sipak-Szmigie,2009,31,69,100,24,92,116,HLAG*010102
Nardi,2012,18,62,80,19,147,166,HLAG*010102
Kuroshli ,2015,35,165,200,15,85,100,HLAG*010102
Sipak-Szmigie,2009,3,97,100,8,108,116,HLAG*010103
Nardi,2012,1,79,80,7,159,166,HLAG*010103
Kuroshli ,2015,5,195,200,1,99,100,HLAG*010103
Sipak-Szmigie,2009,0,100,100,1,115,116,HLAG*010106
Nardi,2012,0,80,80,0,166,166,HLAG*010106
Kuroshli ,2015,13,187,200,1,99,100,HLAG*010106
Nardi,2012,0,80,80,1,165,166,HLAG*010107
Kuroshli ,2015,10,190,200,2,98,100,HLAG*010107
Sipak-Szmigie,2009,4,96,100,7,109,116,HLAG*010108
Nardi,2012,6,74,80,19,147,166,HLAG*010108
Kuroshli ,2015,2,198,200,3,97,100,HLAG*010108
Sipak-Szmigie,2009,2,98,100,5,111,116,HLAG*010401
Nardi,2012,6,74,80,20,146,166,HLAG*010401
Kuroshli ,2015,4,196,200,2,98,100,HLAG*010401
Nardi,2012,1,79,80,1,165,166,HLAG*010403
Kuroshli ,2015,20,180,200,10,90,100,HLAG*010403
Nardi,2012,1,79,80,1,165,166,HLAG*010404
Kuroshli ,2015,5,195,200,2,98,100,HLAG*010404
Sipak-Szmigie,2009,2,98,100,6,110,116,HLAG*0106
Nardi,2012,3,77,80,4,162,166,HLAG*0106
Kuroshli ,2015,16,184,200,4,96,100,HLAG*0106
Sipak-Szmigie,2009,0,100,100,2,114,116,HLAG*0105N
Nardi,2012,1,79,80,1,165,166,HLAG*0105N
Kuroshli ,2015,5,195,200,0,100,100,HLAG*0105N
